Progress,Duration (in seconds),Finished,ResponseId,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,119,TRUE,R_PIILtS72obkwLwB,100,100,100,0,50,0,,,,,,,,,,,,,100,100,100,0,0,0,,,,20,50,0,,,,50,0,0,,,,,,,,,,,,,,,,,,,,36,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,going on strike for better wages,trying to convince a passing driver to trade cars,,,,,trying to buy a ticket off another person,waving to the parents,,taking her to his house but no further,,pretending the knife is part of a hip replacement,,,,,,
100,137,TRUE,R_211EkYWxY89FUHp,,,,,,,,,,,,,,,,,,,,,,76,76,77,,,,30,0,0,,,,54,55,54,85,100,82,,,,52,87,55,,,,,,,8,0,0,,25,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,,,,,,,,keeping an eye on him,,stealing whatever she has on her,,storing the knife in an airport locker,telling his sister as soon as possible,,requesting supplies to be airdropped,,,hiding him in the snow
100,118,TRUE,R_12aImKgALpVHIfG,75,88,21,,,,0,83,0,,,,,,,0,0,0,,,,,,,76,100,90,,,,,,,,,,,,,,,,,,,53,95,41,0,0,0,,,,,35,Male,White / Caucasian,,Some College,Rung 2,searching for the medication on the black market,,paying the money from his own wallet,,,boosting morale with a three-legged race,,,pulling over and calling 911,,,,,,,giving Todd her water,staging a break-in at the store,
100,244,TRUE,R_1cYxDVLYpToLHau,,,,,,,89,89,89,0,0,0,,,,,,,,,,,,,100,100,100,,,,78,79,80,,,,,,,,,,,,,0,0,0,27,12,6,,,,,30,Male,White / Caucasian,,Some College,Rung 5,,,explaining the situation to his boss,pulling the fire alarm,,,,,honking at the driver until they pull over,,checking that the doors are locked,,,,,getting her arm stuck in solidarity,locking up the store,
100,243,TRUE,R_2ru5zP02vutXHAB,67,74,71,90,100,100,,,,,,,79,88,86,83,89,88,,,,15,52,34,,,,,,,,,,,,,,,,40,73,63,,,,,,,,,,,,,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 5,going on strike for better wages,taking a public bus,,,calling her mom,huddling to conserve energy,,making cat noises at him until he leaves,,,,,,buying his father a tent,,,,
100,199,TRUE,R_2uFn7zOnDOicLFn,,,,100,100,100,,,,,,,,,,,,,0,0,0,,,,,,,,,,32,100,32,,,,84,100,100,0,100,32,0,0,0,,,,,,,,,,,56,Male,White / Caucasian,,Master's Degree (MS),Rung 5,,rescheduling for a later flight,,,,,pretending they are conjoined twins,,,,asking to use the mall's loudspeaker,,calling the taxi company,moving into his father’s apartment,serving engine fuel to the passengers,,,
100,358,TRUE,R_27PfxjJOEuLm6Zf,,,,,,,3,0,0,100,100,100,,,,,,,,,,,,,81,81,81,,,,40,90,90,,,,,,,,,,,,,67,68,78,54,90,91,,,,,62,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,staging a robbery,borrowing someone's phone,,,,,tailgating the car,,calling emergency services,,,,,leaving Todd to save herself,calling his lawyer,
100,257,TRUE,R_2qxv2ALVmJT727z,,,,,,,27,100,29,89,100,98,,,,2,0,1,0,1,2,65,100,91,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,60,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,getting an advance payday loan,renewing her membership,,stealing all of the food and water,stealing someone else's ticket,asking the parents if they know him,,,,,,,selling all the food to the highest bidder,,,
100,391,TRUE,R_Ral2LbHF2LL14e5,,,,,,,,,,20,0,0,10,0,0,,,,0,20,0,,,,,,,50,80,60,,,,10,0,0,,,,,,,,,,,,,,,,0,100,0,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,,,crawling past the front desk,hypnotizing the teacher,,teleporting into the concert,,,refusing to drive her,,threatening security with the knife,,,,,,leaving her dogs with him
100,263,TRUE,R_ByrfUnDd7pEMWLn,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,50,0,10,100,0,50,50,85,,,,50,0,1,,,,90,100,100,,,,,,,,63,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,demanding that the airline delays the flight,,,,,,,,turning invisible,pouring water on the car to cool it,asking to check the knife,,abandoning his father,,hiking until she finds cell service,,
100,449,TRUE,R_1F5LIaA4LSy3ykC,50,100,100,,,,,,,,,,10,1,1,,,,,,,,,,70,100,100,,,,,,,,,,40,30,75,,,,,,,,,,10,5,25,20,100,100,,59,Male,White / Caucasian,,College Graduate (4 year),Rung 4,taking out a loan,,,,lying that her house burnt down,,,,taking a detour at the next exit,,,,running away,,,,telling his lawyer that he’s sick,calling for help
100,401,TRUE,R_SZyH9C1zaDj4PiF,,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,80,100,100,15,0,35,20,60,25,10,0,0,,39,Male,White / Caucasian,,Grammar School,Rung 3,,,,paying for a day-pass to the gym,,,,,,,lighting a fire under the car,,,,rationing their food,yelling at Todd for getting stuck,asking a friend to take over,stealing his dogs for extra speed
100,282,TRUE,R_se7Gkd81jC01q6J,,,,0,0,0,,,,,,,,,,,,,50,100,100,0,0,0,50,50,50,,,,,,,,,,0,0,0,0,100,100,,,,,,,,,,,,,,33,Male,White / Caucasian,,High School or equivalent,Rung 2,,stealing a passing driver's car,,,,,going without Ted,tackling him and holding him down,honking an angry message in Morse code,,,,stealing someone else’s ring,getting another job,,,,
100,233,TRUE,R_2YujvQDiHpNhyra,,,,,,,,,,,,,,,,100,100,100,,,,,,,0,0,0,,,,,,,86,20,64,30,50,39,,,,16,0,0,,,,18,19,16,,,,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,,,collecting wood to start a fire,,,ramming into the car,,,taking a train instead,borrowing their mom’s wedding ring,,selling all the food to the highest bidder,,leaving the store unattended,
100,703,TRUE,R_2dvbUKjYPaX2Z5i,88,100,100,96,90,100,,,,27,40,55,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,25,83,91,,,,,,,,,,13,100,31,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 4,switching insurance plans,calling a taxi,,lying that she left her card inside,,,,reading his mind,,,,,,checking in on his father daily,,,,carrying her competitor on her sled
100,765,TRUE,R_2zOYHLYyW6qKykl,69,93,63,,,,94,85,93,,,,70,34,80,10,5,1,,,,,,,,,,40,85,70,,,,25,14,15,,,,,,,,,,,,,,,,,,,,31,Female,White / Caucasian,,College Graduate (4 year),Rung 3,starting a fundraiser,,selling one of his kidneys,,copying a friend's assignment,throwing away all of the food,,,,calling her a cab,,hiding the knife in someone else's bag,,,,,,
100,326,TRUE,R_1CqdAb4twMODHJg,,,,,,,15,0,0,,,,50,100,50,,,,70,100,60,,,,,,,2,0,0,20,50,5,,,,,,,,,,,,,5,0,0,,,,,,,,33,Male,White / Caucasian,,High School or equivalent,Rung 3,,,overcharging the next customers,,quickly trying to redo the assignment,,giving her ticket to Ted,,,yelling in gibberish until she leaves,slashing the tires,,,,,sawing Todd’s arm off,,
100,162,TRUE,R_3CE0gb4abAM7fHG,,,,,,,100,100,100,,,,,,,50,100,80,,,,,,,,,,,,,,,,,,,100,100,100,0,0,0,,,,,,,0,0,0,0,0,0,,47,Male,White / Caucasian,,High School or equivalent,Rung 5,,,getting an advance payday loan,,,searching for a water source,,,,,,,telling his sister as soon as possible,buying his father a tent,,,leaving the store unattended,stealing his dogs for extra speed
100,272,TRUE,R_DUWFnAVOwG0rkSR,40,20,30,80,100,100,,,,,,,,,,,,,5,50,0,,,,5,0,0,50,100,100,,,,,,,,,,,,,,,,5,100,10,,,,,,,,35,Male,White / Caucasian,,Some College,Rung 2,committing credit card fraud,calling a taxi,,,,,pretending they are conjoined twins,,ramming into the car,calling her a cab,,,,,,getting her arm stuck in solidarity,,
100,240,TRUE,R_1H60xbNIGOaskZd,,,,,,,,,,84,87,81,34,28,34,,,,,,,6,29,5,,,,,,,5,15,2,0,1,0,,,,,,,84,86,93,,,,,,,,,,,33,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,,,paying for a day-pass to the gym,copying a friend's assignment,,,tackling him and holding him down,,,slashing the tires,threatening security with the knife,,,requesting supplies to be airdropped,,,
100,216,TRUE,R_Rzs74ZU9LyOOV0d,100,100,100,2,1,1,40,5,6,,,,,,,,,,,,,,,,30,31,31,,,,,,,,,,,,,,,,,,,,,,50,50,52,20,20,20,,43,Male,White / Caucasian,,College Graduate (4 year),Rung 4,starting a fundraiser,stealing a passing driver's car,staging a robbery,,,,,,honking an angry message in Morse code,,,,,,,,calling his lawyer,calling for help
100,171,TRUE,R_3rUtRlaxTkBBsUy,,,,,,,,,,,,,,,,0,0,0,,,,81,100,100,,,,10,0,0,,,,,,,4,1,1,,,,75,100,100,67,31,76,,,,,,,,33,Female,White / Caucasian,,Master's Degree (MS),Rung 5,,,,,,throwing away all of the food,,asking the parents if they know him,,stealing whatever she has on her,,,stealing someone else’s ring,,organizing a fishing crew,yelling at Todd for getting stuck,,
100,417,TRUE,R_3P7eN4MjvefbggZ,,,,9,30,15,,,,,,,30,82,52,,,,5,0,0,81,91,89,,,,,,,,,,,,,,,,100,20,20,,,,,,,81,51,61,,,,,56,Male,White / Caucasian,,Some College,Rung 3,,trying to convince a passing driver to trade cars,,,quickly trying to redo the assignment,,stealing someone else's ticket,waving to the parents,,,,,,checking in on his father daily,,,asking a friend to take over,
100,464,TRUE,R_20M7oIVWLpuLOFX,,,,,,,,,,85,40,92,,,,100,100,100,,,,,,,,,,,,,0,10,0,25,70,35,,,,,,,100,100,100,60,100,70,,,,,,,,36,Male,White / Caucasian,,Some College,Rung 4,,,,lying that she left her card inside,,collecting wood to start a fire,,,,,pouring water on the car to cool it,pretending the knife is part of a hip replacement,,,rationing their food,giving Todd her water,,
100,874,TRUE,R_29udbowrVp0O6le,,,,,,,,,,38,80,75,5,1,12,,,,,,,,,,,,,78,20,52,,,,,,,25,36,10,10,0,2,,,,,,,,,,98,100,100,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,renewing her membership,lying that her house burnt down,,,,,refusing to drive her,,,borrowing their mom’s wedding ring,abandoning his father,,,,finishing the race
100,433,TRUE,R_DqwncxsJDFEGuIh,30,0,0,,,,0,0,0,,,,,,,,,,100,100,100,,,,20,20,15,,,,0,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,30,Female,White / Caucasian,,High School or equivalent,Rung 3,committing credit card fraud,,selling one of his kidneys,,,,trying to buy a ticket off another person,,honking at the driver until they pull over,,asking to use the mall's loudspeaker,hiding the knife in someone else's bag,,,,,,
100,998,TRUE,R_wKStW99kYKzYURX,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9,0,24,2,0,0,,,,100,100,100,10,0,15,0,0,0,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,,,pulling the fire alarm,,,,,,,,,blaming it on the maid of honor,pitching his situation to a reality TV network,,hiking until she finds cell service,telling his lawyer that he’s sick,hiding him in the snow
100,169,TRUE,R_sthuP8esqshXYhX,,,,100,100,100,0,0,0,,,,0,0,0,10,0,0,0,51,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,45,Male,White / Caucasian,,Some College,Rung 3,,rescheduling for a later flight,overcharging the next customers,,hypnotizing the teacher,stealing all of the food and water,teleporting into the concert,,,,,,,,throwing disobedient passengers off the boat,,,
100,289,TRUE,R_1N7KL4bDxupWSwF,75,98,75,,,,,,,,,,,,,,,,,,,85,95,80,50,10,15,29,25,15,65,90,60,20,50,50,,,,,,,,,,,,,,,,,,,,36,Male,White / Caucasian,,College Graduate (4 year),Rung 3,switching insurance plans,,,,,,,keeping an eye on him,tailgating the car,taking her to his house but no further,calling emergency services,asking to check the knife,,,,,,
100,122,TRUE,R_3g6D0FSc3rogAEn,,,,0,0,0,,,,,,,,,,,,,,,,20,70,10,60,90,50,10,10,10,0,0,0,,,,,,,0,100,20,,,,,,,,,,,,,,41,Female,White / Caucasian,,Some College,Rung 3,,demanding that the airline delays the flight,,,,,,making cat noises at him until he leaves,pulling over and calling 911,yelling in gibberish until she leaves,lighting a fire under the car,,,getting another job,,,,
100,126,TRUE,R_2ydOpmthDT0TKXm,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,100,100,100,0,50,0,0,0,0,,,,100,100,100,,,,,,,,,,0,50,0,,30,Male,White / Caucasian,,Some College,Rung 5,,,,,,,,tackling him and holding him down,,calling her a cab,pouring water on the car to cool it,asking to check the knife,,moving into his father’s apartment,,,,carrying her competitor on her sled
100,165,TRUE,R_DT2ijCCHKsWjT8J,82,83,83,,,,,,,73,90,90,,,,20,20,31,,,,,,,,,,,,,,,,,,,,,,,,,76,85,90,,,,10,51,10,24,71,82,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 7,searching for the medication on the black market,,,borrowing someone's phone,,stealing all of the food and water,,,,,,,,,requesting supplies to be airdropped,,calling his lawyer,leaving her dogs with him
100,155,TRUE,R_Br21dKiDrQ6zGbD,,,,,,,,,,59,48,20,,,,,,,50,40,20,,,,35,61,55,,,,,,,,,,54,28,9,,,,18,12,12,,,,45,50,41,,,,,36,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,,,crawling past the front desk,,,going without Ted,,taking a detour at the next exit,,,,borrowing their mom’s wedding ring,,serving engine fuel to the passengers,,leaving the store unattended,
100,186,TRUE,R_25ZpZb2kvapI2ov,,,,,,,19,0,7,,,,100,100,100,,,,,,,0,0,0,29,0,7,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,44,Female,Black / African American,,Some College,Rung 5,,,getting an advance payday loan,,bringing in the assignment the next day,,,reading his mind,tailgating the car,,,,,buying his father a tent,,,staging a break-in at the store,
100,176,TRUE,R_11hiIq0hcsJvx0O,,,,1,5,5,92,93,94,,,,87,88,90,,,,,,,,,,,,,,,,62,79,85,,,,,,,,,,,,,39,52,61,,,,1,29,16,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,demanding that the airline delays the flight,explaining the situation to his boss,,calling her mom,,,,,,calling emergency services,,,,,leaving Todd to save herself,,carrying her competitor on her sled
100,165,TRUE,R_2ffx8SzEX60Hgep,,,,87,100,99,,,,,,,,,,,,,,,,,,,,,,,,,78,100,90,,,,51,69,69,,,,0,0,0,95,78,82,,,,8,9,6,,30,Female,Black / African American,,Some College,Rung 5,,taking a public bus,,,,,,,,,asking to use the mall's loudspeaker,,calling the taxi company,,throwing disobedient passengers off the boat,yelling at Todd for getting stuck,,leaving her dogs with him
100,191,TRUE,R_2RRrCwTc8sexwcN,,,,,,,,,,,,,,,,,,,,,,60,55,60,,,,60,50,50,50,55,50,30,50,21,,,,40,30,20,,,,,,,,,,20,50,20,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,,,,,keeping an eye on him,,refusing to drive her,checking that the doors are locked,storing the knife in an airport locker,,pitching his situation to a reality TV network,,,,calling for help
100,202,TRUE,R_XHtA5irTk5jPmUx,25,0,35,90,100,100,0,100,10,,,,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,50,0,75,,,,,64,Female,White / Caucasian,,High School or equivalent,Rung 4,committing credit card fraud,taking a public bus,selling one of his kidneys,,hypnotizing the teacher,,,,,yelling in gibberish until she leaves,,,,,,,telling his lawyer that he’s sick,
100,215,TRUE,R_6neHVEDjO1gbY09,100,50,100,,,,,,,100,100,100,100,100,100,0,100,0,100,100,100,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,69,Female,White / Caucasian,,High School or equivalent,Rung 6,switching insurance plans,,,borrowing someone's phone,bringing in the assignment the next day,boosting morale with a three-legged race,trying to buy a ticket off another person,,,,,,calling the taxi company,,,,,
100,246,TRUE,R_3Gq6ZGTAso4cDA7,100,100,100,,,,,,,100,100,100,,,,5,100,100,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,30,100,100,,52,Female,White / Caucasian,,Some College,Rung 4,taking out a loan,,,renewing her membership,,boosting morale with a three-legged race,,,,,,,,,selling all the food to the highest bidder,,locking up the store,calling for help
100,190,TRUE,R_3lrTO3PIcVB6shg,,,,,,,,,,,,,90,100,98,99,100,99,,,,90,99,98,,,,,,,2,2,5,,,,85,85,80,,,,,,,,,,,,,100,99,100,,25,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 2,,,,,quickly trying to redo the assignment,huddling to conserve energy,,asking the parents if they know him,,,slashing the tires,,borrowing their mom’s wedding ring,,,,,finishing the race
100,264,TRUE,R_DzZkcvp6Hf38DFD,,,,,,,0,0,0,,,,79,15,91,,,,95,97,89,,,,,,,,,,,,,100,100,100,3,0,0,,,,,,,25,9,7,,,,,,,,42,Female,Other,Middle Eastern,Vocational/Technical School (2 year),Rung 4,,,selling one of his kidneys,,copying a friend's assignment,,giving her ticket to Ted,,,,,asking to check the knife,blaming it on the maid of honor,,,leaving Todd to save herself,,
100,119,TRUE,R_w4Yu1rlglOtpHjP,,,,,,,,,,,,,,,,,,,19,1,1,,,,70,58,65,,,,7,0,0,,,,38,23,26,,,,,,,2,1,0,,,,10,0,0,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,,,,,,stealing someone else's ticket,,honking at the driver until they pull over,,lighting a fire under the car,,running away,,,getting her arm stuck in solidarity,,hiding him in the snow
100,168,TRUE,R_vreV8fxQKpLxpZf,,,,,,,3,82,4,5,1,2,74,100,100,1,1,2,,,,2,52,6,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,26,Male,Hispanic / Latino,,College Graduate (4 year),Rung 3,,,paying the money from his own wallet,crawling past the front desk,calling her mom,boosting morale with a three-legged race,,tackling him and holding him down,,,,threatening security with the knife,,,,,,
100,254,TRUE,R_1qaGZuksQwfxhwu,81,100,92,,,,,,,,,,,,,51,16,33,,,,29,70,6,8,0,1,,,,,,,85,10,35,,,,,,,2,2,2,,,,,,,,,,,30,Female,Asian / Pacific Islander,,Master's Degree (MS),Rung 6,taking out a loan,,,,,collecting wood to start a fire,,making cat noises at him until he leaves,ramming into the car,,,taking a train instead,,,serving engine fuel to the passengers,,,
100,203,TRUE,R_1Qa0FNTsKAvfy6i,,,,,,,,,,,,,,,,,,,,,,51,100,0,80,100,100,0,35,0,,,,,,,,,,,,,65,100,100,100,50,100,0,0,0,,,,,36,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,,,,,,making cat noises at him until he leaves,honking an angry message in Morse code,yelling in gibberish until she leaves,,,,,organizing a fishing crew,yelling at Todd for getting stuck,staging a break-in at the store,
100,191,TRUE,R_3gLrqYVNUpCouXe,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,100,51,100,,,,1,1,1,100,100,100,,,,1,1,1,51,100,52,,70,Female,White / Caucasian,,High School or equivalent,Rung 3,,,,,calling her mom,,,,,,,taking a train instead,,abandoning his father,requesting supplies to be airdropped,,staging a break-in at the store,carrying her competitor on her sled
100,265,TRUE,R_3hgZjQNSIM0lJ6m,,,,15,5,5,,,,,,,,,,55,100,52,5,0,0,,,,,,,,,,,,,,,,5,1,1,,,,0,0,0,85,100,90,,,,,,,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 4,,demanding that the airline delays the flight,,,,huddling to conserve energy,stealing someone else's ticket,,,,,,running away,,serving engine fuel to the passengers,hiking until she finds cell service,,
100,126,TRUE,R_10UimfPmx3xMeH8,,,,39,82,80,60,10,40,,,,,,,,,,,,,20,81,20,,,,0,40,0,,,,,,,,,,,,,0,0,0,75,72,76,,,,,,,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,taking a public bus,overcharging the next customers,,,,,making cat noises at him until he leaves,,turning invisible,,,,,serving engine fuel to the passengers,hiking until she finds cell service,,
100,256,TRUE,R_PweyJ0GTAAIYs0N,,,,,,,,,,,,,16,0,0,,,,79,90,69,,,,,,,,,,,,,7,0,0,60,99,94,10,6,0,,,,,,,4,0,0,,,,,43,Female,Black / African American,,Master's Degree (MS),Rung 7,,,,,lying that her house burnt down,,giving her ticket to Ted,,,,,pretending the knife is part of a hip replacement,telling his sister as soon as possible,buying his father a tent,,,leaving the store unattended,
100,247,TRUE,R_1QEOWV4dqdMuBxx,,,,,,,95,100,100,75,100,89,,,,,,,0,0,0,,,,0,0,0,,,,,,,85,100,78,,,,10,3,0,,,,,,,,,,,,,,66,Male,White / Caucasian,,Some College,Rung 5,,,explaining the situation to his boss,renewing her membership,,,pretending they are conjoined twins,,ramming into the car,,,taking a train instead,,pitching his situation to a reality TV network,,,,
100,282,TRUE,R_3qnFBU4J8IETMgp,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,88,77,,,,44,53,57,4,0,0,,,,100,100,100,,,,,,,,,,100,100,100,,39,Male,Black / African American,,High School or equivalent,Rung 6,,,,,,,,reading his mind,taking a detour at the next exit,,calling emergency services,hiding the knife in someone else's bag,,moving into his father’s apartment,,,,finishing the race
100,142,TRUE,R_2E5ygJugUJqoqiv,,,,,,,,,,0,0,0,0,0,0,,,,,,,100,100,0,100,0,100,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,48,Female,Hispanic / Latino,,Vocational/Technical School (2 year),Rung 4,,,,pulling the fire alarm,copying a friend's assignment,,,asking the parents if they know him,pulling over and calling 911,,,,,getting another job,,,locking up the store,
100,280,TRUE,R_TpXOv7L6LsQhIfT,,,,,,,,,,,,,,,,23,76,98,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,3,2,1,,,,,55,Female,White / Caucasian,,High School or equivalent,Rung 3,,,,,,searching for a water source,,reading his mind,,turning invisible,,,,,throwing disobedient passengers off the boat,getting her arm stuck in solidarity,asking a friend to take over,
100,228,TRUE,R_271KJwihMViOwWq,,,,20,10,5,,,,50,63,69,,,,65,65,60,,,,,,,,,,,,,,,,,,,0,0,1,47,49,45,,,,,,,,,,3,4,3,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,trying to convince a passing driver to trade cars,,paying for a day-pass to the gym,,searching for a water source,,,,,,,stealing someone else’s ring,abandoning his father,,,,hiding him in the snow
100,221,TRUE,R_WcVX6yZl8Zx5rlT,,,,,,,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,29,11,13,1,1,1,,,,,,,,,,,,,10,72,15,,,,,,,,53,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,staging a robbery,,,,,reading his mind,ramming into the car,refusing to drive her,slashing the tires,,,,,sawing Todd’s arm off,,
100,197,TRUE,R_2EzC92JQPRSGPW2,57,94,73,,,,,,,,,,,,,0,0,0,,,,80,91,98,,,,0,0,0,,,,70,60,70,,,,,,,,,,,,,78,73,9,,,,,32,Female,White / Caucasian,,College Graduate (4 year),Rung 4,starting a fundraiser,,,,,throwing away all of the food,,keeping an eye on him,,yelling in gibberish until she leaves,,storing the knife in an airport locker,,,,,locking up the store,
100,284,TRUE,R_3hiKEsbG2yfEkVl,40,100,50,,,,,,,5,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,25,100,50,,,,,,,0,0,0,,,,,35,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 7,taking out a loan,,,crawling past the front desk,,throwing away all of the food,pretending they are conjoined twins,,,,,,,moving into his father’s apartment,,,asking a friend to take over,
100,148,TRUE,R_3ssuZmVSbE6cuiz,,,,,,,50,0,50,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,,,,,0,0,0,,37,Male,White / Caucasian,,College Graduate (4 year),Rung 1 (Bottom Rung),,,getting an advance payday loan,paying for a day-pass to the gym,,,,,,,,,calling the taxi company,getting another job,rationing their food,,,stealing his dogs for extra speed
100,142,TRUE,R_33anEc4u9H6ECRV,100,100,100,,,,,,,55,40,48,,,,100,100,100,75,100,89,,,,70,94,42,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,41,Female,White / Caucasian,,Master's Degree (MS),Rung 7,switching insurance plans,,,lying that she left her card inside,,collecting wood to start a fire,giving her ticket to Ted,,taking a detour at the next exit,,,,,,requesting supplies to be airdropped,,,
100,102,TRUE,R_114jVQYCcbuPOHh,,,,,,,,,,,,,100,100,100,,,,,,,80,100,87,,,,0,0,0,86,100,84,2,0,0,,,,,,,,,,,,,93,89,94,,,,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,,,,quickly trying to redo the assignment,,,asking the parents if they know him,,turning invisible,checking that the doors are locked,threatening security with the knife,,,,,telling his lawyer that he’s sick,
100,267,TRUE,R_3qNJLQrmJstpy4R,,,,30,0,10,,,,,,,40,90,20,0,0,0,,,,,,,,,,25,70,45,,,,,,,,,,,,,,,,0,20,0,15,0,40,,,,,47,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,,demanding that the airline delays the flight,,,bringing in the assignment the next day,throwing away all of the food,,,,calling her a cab,,,,,,sawing Todd’s arm off,telling his lawyer that he’s sick,
100,152,TRUE,R_1i2SXAnPOxtQYeO,10,4,20,,,,,,,,,,,,,,,,,,,11,9,21,,,,23,16,14,,,,,,,,,,,,,,,,14,47,7,10,10,33,21,15,38,,32,Male,Black / African American,,College Graduate (4 year),Rung 3,searching for the medication on the black market,,,,,,,asking the parents if they know him,,stealing whatever she has on her,,,,,,getting her arm stuck in solidarity,leaving the store unattended,leaving her dogs with him
100,196,TRUE,R_2dhkMWGrVgwtobw,,,,100,80,80,0,0,0,100,100,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,,,,,,,,,,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 4,,rescheduling for a later flight,staging a robbery,renewing her membership,hypnotizing the teacher,,,,,,,,,checking in on his father daily,rationing their food,,,
100,124,TRUE,R_YY59SpCM7X9Kbwl,91,89,94,3,3,5,4,3,7,,,,,,,,,,25,29,44,,,,,,,,,,,,,,,,90,90,93,,,,,,,,,,,,,3,8,7,,42,Male,White / Caucasian,,Some College,Rung 4,committing credit card fraud,trying to convince a passing driver to trade cars,overcharging the next customers,,,,going without Ted,,,,,,running away,,,,,stealing his dogs for extra speed
100,256,TRUE,R_b2E8BlN76QuGqBj,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,95,96,100,,,,,,,,,,,,,3,0,0,99,100,100,65,69,69,,,,,58,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,,,,,,,waving to the parents,pulling over and calling 911,stealing whatever she has on her,,,,,throwing disobedient passengers off the boat,sawing Todd’s arm off,calling his lawyer,
100,264,TRUE,R_2zXWC4HG39ORNfN,9,29,4,19,52,20,,,,1,1,1,,,,29,40,11,,,,,,,,,,,,,8,8,6,,,,,,,,,,,,,,,,,,,0,1,0,,58,Male,White / Caucasian,,College Graduate (4 year),Rung 8,searching for the medication on the black market,calling a taxi,,lying that she left her card inside,,collecting wood to start a fire,,,,,calling emergency services,,,,,,,hiding him in the snow
